"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 11 19:35:09 GMT 2024","Thu Apr 11 19:35:10 GMT 2024","905","Google Chrome","login.spec.ts","","","","não deve logar com senha inválida",""
"passed","Thu Apr 11 19:35:10 GMT 2024","Thu Apr 11 19:35:11 GMT 2024","863","Google Chrome","login.spec.ts","","","","não deve logar quando não preencho o login e senha",""
"passed","Thu Apr 11 19:35:11 GMT 2024","Thu Apr 11 19:35:12 GMT 2024","848","Google Chrome","login.spec.ts","","","","não deve logar quando não preencho a senha",""
"passed","Thu Apr 11 19:35:12 GMT 2024","Thu Apr 11 19:35:12 GMT 2024","848","Google Chrome","login.spec.ts","","","","não deve logar quando não preencho o usuário",""
"passed","Thu Apr 11 19:35:01 GMT 2024","Thu Apr 11 19:35:09 GMT 2024","7577","Google Chrome","login.spec.ts","","","","deve logar com sucesso",""
